Sample	BioProject	BioSample	Submitter	Collection Date	Location	Population	ReleaseDate	LoadDate
SRR31984881	PRJNA957477	SAMN46235661	verily_ww	2025-01-07	USA: California, 	29000	2025-01-13 19:17:21	2025-01-13 19:13:46
SRR31984882	PRJNA957477	SAMN46235667	verily_ww	2025-01-06	USA: California, 	97000	2025-01-13 19:17:20	2025-01-13 19:13:21
SRR31984883	PRJNA957477	SAMN46235678	verily_ww	2025-01-07	USA: California, 	131000	2025-01-13 19:17:20	2025-01-13 19:13:12
SRR31984884	PRJNA957477	SAMN46235669	verily_ww	2025-01-06	USA: California, 	130000	2025-01-13 19:17:19	2025-01-13 19:12:43
SRR31984885	PRJNA957477	SAMN46235679	verily_ww	2025-01-06	USA: California, 	60000	2025-01-13 19:17:22	2025-01-13 19:14:14
SRR31984998	PRJNA1027353	SAMN46235838	verily_ww_nwss	2025-01-07	USA: North Carolina, 	21000	2025-01-13 20:48:56	2025-01-13 19:59:41
SRR31984999	PRJNA1027353	SAMN46235839	verily_ww_nwss	2025-01-07	USA: North Carolina, 	32000	2025-01-13 20:48:56	2025-01-13 19:59:55
SRR31985000	PRJNA1027353	SAMN46235932	verily_ww_nwss	2025-01-07	USA: Virginia, 	60000	2025-01-13 20:48:55	2025-01-13 19:59:12
SRR31985001	PRJNA1027353	SAMN46235853	verily_ww_nwss	2025-01-07	USA: Florida, 	100000	2025-01-13 20:49:02	2025-01-13 20:00:39
SRR31985002	PRJNA1027353	SAMN46235810	verily_ww_nwss	2025-01-06	USA: Maryland, 	11802	2025-01-13 20:48:54	2025-01-13 19:58:25
SRR31985003	PRJNA1027353	SAMN46235935	verily_ww_nwss	2025-01-07	USA: Florida, 	3000	2025-01-13 20:48:56	2025-01-13 20:00:09
SRR31985004	PRJNA1027353	SAMN46235811	verily_ww_nwss	2025-01-07	USA: Maryland, 	150078	2025-01-13 20:48:55	2025-01-13 19:59:19
SRR31985005	PRJNA1027353	SAMN46235720	verily_ww_nwss	2025-01-06	USA: Nevada, 	350000	2025-01-13 20:48:57	2025-01-13 20:00:11
SRR31985006	PRJNA1027353	SAMN46235889	verily_ww_nwss	2025-01-07	USA: Wyoming, 	18000	2025-01-13 20:48:56	2025-01-13 20:00:09
SRR31985007	PRJNA1027353	SAMN46235767	verily_ww_nwss	2025-01-06	USA: Connecticut, 	72914	2025-01-13 20:49:02	2025-01-13 20:00:18
SRR31985008	PRJNA1027353	SAMN46235893	verily_ww_nwss	2025-01-07	USA: California, 	250000	2025-01-13 20:49:05	2025-01-13 20:01:01
SRR31985009	PRJNA1027353	SAMN46235849	verily_ww_nwss	2025-01-06	USA: Maryland, 	90000	2025-01-13 20:48:56	2025-01-13 20:00:00
SRR31985010	PRJNA1027353	SAMN46235788	verily_ww_nwss	2025-01-06	USA: Arkansas, 	38000	2025-01-13 20:49:02	2025-01-13 20:00:24
SRR31985011	PRJNA1027353	SAMN46235772	verily_ww_nwss	2025-01-07	USA: California, 	13754	2025-01-13 20:49:05	2025-01-13 20:01:08
SRR31985013	PRJNA1027353	SAMN46235947	verily_ww_nwss	2025-01-06	USA: California, 	16000	2025-01-13 20:48:56	2025-01-13 20:00:03
SRR31985014	PRJNA1027353	SAMN46235840	verily_ww_nwss	2025-01-07	USA: Pennsylvania, 	13000	2025-01-13 20:49:00	2025-01-13 20:00:16
SRR31985015	PRJNA1027353	SAMN46235949	verily_ww_nwss	2025-01-06	USA: Wyoming, 	13000	2025-01-13 20:49:00	2025-01-13 20:00:10
SRR31985016	PRJNA1027353	SAMN46235773	verily_ww_nwss	2025-01-07	USA: New Mexico, 	15000	2025-01-13 20:49:04	2025-01-13 20:00:47
SRR31985020	PRJNA1027353	SAMN46235807	verily_ww_nwss	2025-01-07	USA: Maryland, 	13296	2025-01-13 20:48:53	2025-01-13 19:57:36
SRR31985021	PRJNA1027353	SAMN46235741	verily_ww_nwss	2025-01-06	USA: Alaska, 	92000	2025-01-13 20:48:53	2025-01-13 19:57:48
